text,date,lang,link,likes_count,comments_count,word_count
"David, I don't understand why the people that remained in the island still don't have minimum necessities met... Where did all the millions raised by movie stars, athletes and singers go?? And the millions the government gave??
What about the grids?? I thought the contract was taken away from a shady company and given to a more reputable company and still nothing is brand new!?
Who is in charge of the money???
This is such an insult to those left behind. I would like you to tell us WHO is in charge of the money and not taking care of the people suffering 6 months after the hurricane.",3/17/2018,en,No,344,94,105
My son is a lineman for Sacramento California SMUD he has been there In Puerto Rico restoring power for the last month .  These men and women are working very hard.,3/17/2018,en,No,305,58,31
"I hope someday the island will Commemorate your name. You have gone beyond anyone expectation. For you to still be covering the recovery effort in the island.  Says a lot as a human being. Thank you for your commitment. PR will always remember what you've done for the island.

Thank you!  You are amazing!",3/17/2018,en,No,257,6,53
"I just got back from Puerto Rico after spending 2 weeks there. One thing I feel it must be covered is how the majority  of the traffic lights are not currently working.  I stayed in Bayamon and drove to San Juan and also Carolina. Every time  you are on a road there you are risking your life because of  this issue. (I lost count of the amounts in which I thought I was going to get into an accident.) The stress level is unreal and driving on those conditions is extremely dangerous. At night it gets worse. There are many roads that do not have any streets lights so one can’t even see where the traffic lanes are, if you are going the right way or the wrong one in a road or any of the numerous potholes. 
Everything seems to be so difficult... this is just an example of one of the issues they are still facing.
If you want to see some of it I can point out specific areas. In the town of Bayamon, near their baseball stadium (the areas behind it... also by the University of Puerto Rico in Bayamon and the streets that crosses it) There are numerous examples but those are the first ones that came to mind. 
I personally didn’t drive to other cities just the ones that I previously mentioned and Toa Baja. But this is the metropolitan area where most  of the traffic cogestión is..it is extremely dangerous. 
Also, you don’t even have to go too far to see it. Right by the San Juan  airport the road that takes you to Piñones is the same and many around it... Another issue is the electricity does that “have it back” are constantly losing it. I lost count of how many times it happened while I was there. The system still very unstable. 
As a matter a fact my mom who lives in the town of Bayamon called me few hours ago to tell me she heard a huge explosion by her house and everything and was told it was one of the electricity generators from the residential area where she lives. It seems to be a common theme as well...
(Thank you so much for keeping Puerto Rico on the forefront) God bless you",3/17/2018,en,No,232,31,381
I am available for interviews. I live in Yabucoa town that hurricane entered and we currently have no water or electricity.  We rely on church donations that are still giving us bottled water. I suffer from chronic asthma.,3/17/2018,en,No,188,51,38
"It's just horrible how Puerto Rico is part of the United States and people act like it's on another  continent.  Give our people what they need to survive. Power,food,water,shelter",3/17/2018,en,No,187,30,29
"Yabucoa!, Juncos, Lara's!!! You",3/17/2018,pt,No,134,9,4
You should look into how the corrupt politicians are wasting away money in contracts while the island is broke and there isnt any power in many places of the island.,3/17/2018,en,No,121,8,30
"David - so excited you are about to land at the island. THANK YOU! Please go to the mountains Ciales, Morovis, Utuado get the real picture. Also, east side Yabucoa, Patillas. Take the mask off of this abusive government. Bring to the surface how unfair / corrupted this administration has been.",3/17/2018,en,No,117,6,51
"Hey David, don't stay in the metro area, we are fine.....go to the interior and to the east of the island. Thank you so much for all the help you have given",3/17/2018,en,No,91,5,32
"Go to Las Piedras, Humacao and Yabucoa. East part of the Island.... completely unacceptable.... people and communities still without power. Thanks for everything you do!",3/17/2018,en,No,74,7,25
"Please cover the situation with the elderly, particularly in the mountain towns. You will never fully understand what you have meant for us and what you have done for PR. You are a hero to us, and there are no words in existence that can describe the gratitude we feel.",3/17/2018,en,No,41,0,50
"The most important thing for Vieques is to get the electricity back on for everyone. There are still 100's of people without electricity for almost 7 months! 
The contractors from the States were sent away because PREPA the PR electrical authority don't want them here. These guys from Pike, Flour, DTE etc. have worked so hard and fast to get our grid rewired to homes, and poles but up etc. Some guys from Pike even spent their own money to bring electricity to a school in Vieques. They wanted to stay and continue to help. Please contact your representatives regarding the dire situation on Vieques! Thank you for your help since Hurricane Maria! Also, our Medical Center is condemned and will temporarily be in the Refuge which is where people go when their house is uninhabitable...our Municipal leaders are not helping at all and sent away help from the very beginning!",3/17/2018,en,No,29,5,151
